Plan or Actuals,Activity Type,Independent Provider,STP,Mitigations in Place for the following week + Additional Comments,POD,Diagnostic Modality,Diagnostic Modality Grouped,Cancer,Week  Commencing Date,Activity Count,Plan Type
Actuals,eRS,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Non-Cancer,29/11/2020, -   ,Actuals
Actuals,eRS,West Valley (Ramsay Health UK),South East London STP,,Daycase,,,Non-Cancer,29/11/2020, 15 ,Actuals
Actuals,eRS,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Cancer,29/11/2020, -   ,Actuals
Actuals,eRS,West Valley (Ramsay Health UK),South East London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,29/11/2020, 5 ,Actuals
Actuals,eRS,West Valley (Ramsay Health UK),South East London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,29/11/2020, -   ,Actuals
Actuals,eRS,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,29/11/2020, 2 ,Actuals
Actuals,eRS,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,29/11/2020, 1 ,Actuals
Actuals,eRS,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,29/11/2020, 2 ,Actuals
Actuals,eRS,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,29/11/2020, 9 ,Actuals
Actuals,eRS,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,29/11/2020, 4 ,Actuals
Actuals,eRS,Parkside (Aspen Healthcare),South West London STP,,Outpatients,,,Non-Cancer,29/11/2020, 53 ,Actuals
Actuals,eRS,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Non-Cancer,29/11/2020, 9 ,Actuals
Actuals,eRS,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Non-Cancer,29/11/2020, 9 ,Actuals
Plan,Normal,London East (Spire Healthcare),East London STP,,Elective,,,Routine,29/11/2020, 54 ,National Capacity Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,Routine,29/11/2020, 60 ,National Capacity Plan
Plan,Normal,The Spire Hartswood,East London STP,,Elective,,,Routine,29/11/2020, 75 ,National Capacity Plan
Plan,Normal,Holly House (Holly House),East London STP,,Elective,,,Routine,29/11/2020, 112 ,National Capacity Plan
Plan,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Routine,29/11/2020, 40 ,National Capacity Plan
Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Elective,,,Routine,29/11/2020, 135 ,National Capacity Plan
Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Elective,,,Routine,29/11/2020, 32 ,National Capacity Plan
Plan,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Elective,,,Routine,29/11/2020, 25 ,National Capacity Plan
Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Elective,,,Routine,29/11/2020, 48 ,National Capacity Plan
Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Elective,,,Routine,29/11/2020, 50 ,National Capacity Plan
Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Elective,,,Routine,29/11/2020, 19 ,National Capacity Plan
Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Elective,,,Routine,29/11/2020, 48 ,National Capacity Plan
Plan,Normal,Sloane (BMI Healthcare),South East London STP,,Elective,,,Routine,29/11/2020, 36 ,National Capacity Plan
Plan,Normal,Ashtead (Ramsay Health UK),South West London STP,,Elective,,,Routine,29/11/2020, 45 ,National Capacity Plan
Plan,Normal,Parkside (Aspen Healthcare),South West London STP,,Elective,,,Routine,29/11/2020, 96 ,National Capacity Plan
Plan,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Elective,,,Routine,29/11/2020, 40 ,National Capacity Plan
Plan,Normal,St Anthony's (Spire Healthcare),South West London STP,,Elective,,,Routine,29/11/2020, 79 ,National Capacity Plan
Plan,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Elective,,,Routine,29/11/2020, 68 ,National Capacity Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 6 ,National Capacity Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 12 ,National Capacity Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 9 ,National Capacity Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 14 ,National Capacity Plan
Plan,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 5 ,National Capacity Plan
Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 32 ,National Capacity Plan
Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 4 ,National Capacity Plan
Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 16 ,National Capacity Plan
Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 17 ,National Capacity Plan
Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 18 ,National Capacity Plan
Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 15 ,National Capacity Plan
Plan,Normal,Sloane (BMI Healthcare),South East London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020,,National Capacity Plan
Plan,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 12 ,National Capacity Plan
Plan,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 75 ,National Capacity Plan
Plan,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 8 ,National Capacity Plan
Plan,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,,ENDOSCOPY,Routine,29/11/2020, 5 ,National Capacity Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 24 ,National Capacity Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 30 ,National Capacity Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 17 ,National Capacity Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 18 ,National Capacity Plan
Plan,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 4 ,National Capacity Plan
Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 30 ,National Capacity Plan
Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 0 ,National Capacity Plan
Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 8 ,National Capacity Plan
Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 9 ,National Capacity Plan
Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Sloane (BMI Healthcare),South East London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020,,National Capacity Plan
Plan,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 30 ,National Capacity Plan
Plan,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 26 ,National Capacity Plan
Plan,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 10 ,National Capacity Plan
Plan,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, 29 ,National Capacity Plan
Plan,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,,COMPUTERISED TOMOGRAPHY (CT),Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 27 ,National Capacity Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 8 ,National Capacity Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 25 ,National Capacity Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 21 ,National Capacity Plan
Plan,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 6 ,National Capacity Plan
Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 23 ,National Capacity Plan
Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 4 ,National Capacity Plan
Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 18 ,National Capacity Plan
Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 5 ,National Capacity Plan
Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 15 ,National Capacity Plan
Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 9 ,National Capacity Plan
Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Sloane (BMI Healthcare),South East London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020,,National Capacity Plan
Plan,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 33 ,National Capacity Plan
Plan,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 68 ,National Capacity Plan
Plan,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 10 ,National Capacity Plan
Plan,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 36 ,National Capacity Plan
Plan,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,,MAGNETIC RESONANCE IMAGING (MRI),Routine,29/11/2020, 12 ,National Capacity Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 34 ,National Capacity Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 19 ,National Capacity Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 32 ,National Capacity Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 32 ,National Capacity Plan
Plan,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 10 ,National Capacity Plan
Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 53 ,National Capacity Plan
Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 27 ,National Capacity Plan
Plan,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 4 ,National Capacity Plan
Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 16 ,National Capacity Plan
Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 13 ,National Capacity Plan
Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 14 ,National Capacity Plan
Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 18 ,National Capacity Plan
Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Sloane (BMI Healthcare),South East London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020,,National Capacity Plan
Plan,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 185 ,National Capacity Plan
Plan,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 14 ,National Capacity Plan
Plan,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, 18 ,National Capacity Plan
Plan,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,,ULTRASOUND,Routine,29/11/2020, -   ,National Capacity Plan
Plan,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 63 ,National Capacity Plan
Plan,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 22 ,National Capacity Plan
Plan,Normal,The Spire Hartswood,East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 30 ,National Capacity Plan
Plan,Normal,Holly House (Holly House),East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 32 ,National Capacity Plan
Plan,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 9 ,National Capacity Plan
Plan,Normal,Highgate Private (Aspen Healthcare),North London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 53 ,National Capacity Plan
Plan,Normal,Kings Oak (BMI Healthcare),North London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 7 ,National Capacity Plan
Plan,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 4 ,National Capacity Plan
Plan,Normal,Bishopswood (BMI Healthcare),North West London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 12 ,National Capacity Plan
Plan,Normal,Clementine Churchill (BMI Healthcare),North West London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 23 ,National Capacity Plan
Plan,Normal,Blackheath (BMI Healthcare),South East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 7 ,National Capacity Plan
Plan,Normal,Chelsfield (BMI Healthcare),South East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 11 ,National Capacity Plan
Plan,Normal,West Valley (Ramsay Health UK),South East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 168 ,National Capacity Plan
Plan,Normal,Sloane (BMI Healthcare),South East London STP,,Diagnostics,,X-RAY,Routine,29/11/2020,,National Capacity Plan
Plan,Normal,Ashtead (Ramsay Health UK),South West London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 38 ,National Capacity Plan
Plan,Normal,Parkside (Aspen Healthcare),South West London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 402 ,National Capacity Plan
Plan,Normal,Shirley Oaks (BMI Healthcare),South West London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 3 ,National Capacity Plan
Plan,Normal,St Anthony's (Spire Healthcare),South West London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 52 ,National Capacity Plan
Plan,Normal,The New Victoria Hospital (The New Victoria Hospital Limited),South West London STP,,Diagnostics,,X-RAY,Routine,29/11/2020, 154 ,National Capacity Plan
Plan,Normal,Weymouth Street Hospital (Phoenix Hospital Group),North West London STP,,Elective,,,Routine,29/11/2020, 15 ,National Capacity Plan
Plan,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Routine,29/11/2020, 120 ,National Capacity Plan
Plan,Normal,Weymouth Street Hospital (Phoenix Hospital Group),East London STP,,Elective,,,Routine,29/11/2020, 30 ,National Capacity Plan
Actuals,Normal,Holly House (Holly House),East London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/12/2020, 1 ,Actuals
Actuals,Normal,Holly House (Holly House),East London STP,,Outpatients,,,Non-Cancer,06/12/2020, 76 ,Actuals
Actuals,Normal,Holly House (Holly House),East London STP,,Elective,,,Non-Cancer,06/12/2020, 12 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/12/2020, 2 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/12/2020, 1 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/12/2020, 10 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Outpatients,,,Non-Cancer,06/12/2020, 7 ,Actuals
Actuals,Normal,London East (Spire Healthcare),East London STP,,Daycase,,,Non-Cancer,06/12/2020, 11 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/12/2020, 33 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/12/2020, 16 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/12/2020, 11 ,Actuals
Actuals,Normal,London Independent (BMI Healthcare),East London STP,,Elective,,,Non-Cancer,06/12/2020, 18 ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Outpatients,,,Non-Cancer,06/12/2020, 34 ,Actuals
Actuals,Normal,North East London Teatment Centre (Care UK Clinical Services Limited),East London STP,,Elective,,,Non-Cancer,06/12/2020, 39 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/12/2020, 12 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/12/2020, 21 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Outpatients,,,Non-Cancer,06/12/2020, 37 ,Actuals
Actuals,Normal,The Spire Hartswood,East London STP,,Daycase,,,Non-Cancer,06/12/2020, 79 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,06/12/2020, 3 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY - Bowel Cancer Screening,ENDOSCOPY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Outpatients,,,Non-Cancer,06/12/2020, 36 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,06/12/2020, 3 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,06/12/2020, 5 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Elective,,,Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,06/12/2020, 1 ,Actuals
Actuals,Normal,Cavell (BMI Healthcare),North London STP,,Number of 1/2 Day Lists (Theatres Only),,,Non-Cancer,06/12/2020, 3 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,COMPUTERISED TOMOGRAPHY (CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,X-RAY,X-RAY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,ULTRASOUND,ULTRASOUND,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,MAGNETIC RESONANCE IMAGING (MRI),MAGNETIC RESONANCE IMAGING (MRI),Non-Cancer,06/12/2020, 3 ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,POSITRON EMISSION TOMOGRAPHY - COMPUTERISED TOMOGRAPHY (PET-CT),COMPUTERISED TOMOGRAPHY (CT),Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,ECHO,OTHER,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,NUCLEAR MEDICINE SCAN,OTHER,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,DEXASCAN,X-RAY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - GI activity (Flexi-sigs, Gastroscopy and Colonoscopy)",ENDOSCOPY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,ENDOSCOPY - Bowel Cancer Screening,ENDOSCOPY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Diagnostics,"ENDOSCOPY - All other endoscopy activity (Cystoscopy, bronchoscopy etc)",ENDOSCOPY,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Outpatients,,,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Daycase,,,Non-Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,Elective,,,Cancer,06/12/2020, -   ,Actuals
Actuals,Normal,Hendon (BMI Healthcare),North London STP,,DNA/Cancellation (Theatres Only),,,Non-Cancer,06/12/2020, -   ,Actuals
